IWD WU,IWD WB,IWD WR,IWD WG,IWD UB,IWD UR,IWD UG,IWD BR,IWD BG,IWD RG,Name,Color
6.4,-16.2,-16.2,-16.2,10.2,4.2,4.6,-16.2,-16.2,-16.2,Biolume Egg,U
7.6,4.8,7.6,7.6,7.5,7.6,7.6,2.0,3.8,7.6,Bleed Dry,B
-16.2,-0.0,-16.2,-16.2,0.4,-16.2,-16.2,-4.8,1.2,-16.2,Blood Fountain,B
-0.7,-0.7,-2.5,-0.7,-0.7,1.1,-0.7,-1.3,-0.7,-0.7,Blood Hypnotist,R
-3.6,-3.6,-2.0,-3.6,-3.6,-2.1,-3.6,-3.3,-3.6,-3.6,Blood Petal Celebrant,R
-9.1,-2.4,-5.5,-6.1,-3.1,3.7,-6.1,-4.0,2.1,-6.1,Blood Servitor,
-16.2,4.2,-16.2,-16.2,2.5,-16.2,-16.2,0.6,3.7,-16.2,Bloodcrazed Socialite,B
-16.2,-1.0,-16.2,-16.2,-2.8,-16.2,-16.2,-6.7,-1.1,-16.2,Bloodsworn Squire,B
-16.2,11.5,-16.2,-16.2,-16.2,-16.2,-16.2,8.5,7.9,-16.2,Bloodtithe Harvester,BR
-16.2,10.5,-16.2,-16.2,13.0,-16.2,-16.2,7.7,8.0,-16.2,Bloodvial Purveyor,B
-1.9,-1.9,1.1,-1.9,-1.9,4.4,-1.9,-0.4,-1.9,-1.9,Bloody Betrayal,R
-5.0,-16.2,-16.2,-16.2,-4.5,-16.2,-16.2,-16.2,-16.2,-16.2,Boarded Window,
-5.4,-5.4,-5.4,-3.5,-5.4,-5.4,-5.4,-5.4,-1.3,-5.4,Bramble Armor,G
2.1,7.0,2.1,2.5,2.5,2.1,7.8,-1.9,7.8,2.1,Bramble Wurm,G
-16.2,-4.3,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Bride's Gown,W
7.1,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Brine Comber,WU
4.8,6.9,0.1,1.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,By Invitation Only,W
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-4.0,-16.2,-10.3,-16.2,Cartographer's Survey,G
-16.2,3.2,-16.2,-16.2,0.7,-16.2,-16.2,-1.2,6.1,-16.2,Catapult Fodder,B
-16.2,11.2,-16.2,-16.2,14.8,-16.2,-16.2,9.1,20.2,-16.2,Cemetery Desecrator,B
-5.5,-5.5,1.0,-5.5,-5.5,1.0,-5.5,-0.4,-5.5,-5.5,Cemetery Gatekeeper,R
3.1,-16.2,-16.2,-16.2,7.6,6.4,7.1,-16.2,-16.2,-16.2,Cemetery Illuminator,U
6.4,4.7,-0.6,1.8,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Cemetery Protector,W
1.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.2,1.0,Cemetery Prowler,G
-4.0,-0.9,-8.0,-4.7,-4.0,-6.5,-3.6,-8.2,-7.3,-7.8,Ceremonial Knife,
-2.5,-2.5,-3.0,-2.5,-2.5,4.1,-2.5,-2.1,-2.5,-2.5,"Chandra, Dressed to Kill",R
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Change of Fortune,R
1.1,1.1,1.1,3.4,1.1,7.5,5.6,0.7,2.6,1.1,Child of the Pack,RG
-1.2,-16.2,-16.2,-16.2,3.6,1.5,2.3,-16.2,-16.2,-16.2,Chill of the Grave,U
3.7,4.8,0.5,2.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Circle of Confinement,W
-4.1,-4.1,-4.1,-3.1,-4.1,-4.1,-0.5,-4.1,-2.2,-4.1,Cloaked Cadet,G
-1.2,-16.2,-16.2,-16.2,2.5,-1.1,1.7,-16.2,-16.2,-16.2,Cobbled Lancer,U
-16.2,7.9,-16.2,-16.2,8.8,-16.2,-16.2,5.0,9.3,-16.2,Concealing Curtains,B
-16.2,-16.2,-16.2,-16.2,-16.2,-0.9,-16.2,-16.2,-16.2,-16.2,Consuming Tide,U
-16.2,2.7,-16.2,-16.2,0.7,-16.2,-16.2,-4.6,-1.0,-16.2,Courier Bat,B
-0.4,-16.2,-16.2,-16.2,1.5,-0.4,3.3,-16.2,-16.2,-16.2,Cradle of Safety,U
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,0.9,-16.2,2.3,-16.2,Crawling Infestation,G
1.8,1.8,3.5,1.8,1.8,2.6,1.8,0.1,1.8,1.8,Creepy Puppeteer,R
1.7,-16.2,-16.2,-16.2,0.1,0.1,0.1,-16.2,-16.2,-16.2,Cruel Witness,U
-4.0,-4.0,-4.0,-5.5,-4.0,-4.0,2.3,-4.0,-3.3,-4.0,Crushing Canopy,G
-3.7,-3.7,-3.7,2.1,-3.7,-3.7,9.7,-3.7,4.0,-3.7,Cultivator Colossus,G
-4.7,-4.7,-1.2,-4.7,-4.7,-5.2,-4.7,-5.9,-4.7,-4.7,Curse of Hospitality,R
-4.3,-4.3,-4.3,-1.6,-4.3,-4.3,-0.4,-4.3,-3.0,-4.3,Dawnhart Disciple,G
-1.0,-2.1,-8.4,-8.1,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Dawnhart Geist,W
-6.6,-6.6,-5.2,-6.6,-6.6,-4.3,-6.6,-2.6,-6.6,-6.6,Daybreak Combatants,R
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,1.4,-16.2,Deathcap Glade,BG
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Demonic Bargain,B
-16.2,2.4,-16.2,-16.2,3.3,-16.2,-16.2,-2.1,0.9,-16.2,Desperate Farmer,B
-0.5,-0.5,-0.5,-2.1,-0.5,-0.5,-6.8,-0.5,5.5,-0.5,Dig Up,BG
-16.2,5.0,-16.2,-16.2,3.5,-16.2,-16.2,0.5,1.3,-16.2,Diregraf Scavenger,B
-3.1,-2.5,-2.6,-2.9,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Distracting Geist,W
4.2,-16.2,-16.2,-16.2,6.4,1.8,6.1,-16.2,-16.2,-16.2,Diver Skaab,U
0.2,1.3,-3.9,1.4,6.3,2.0,6.4,-2.5,7.4,-2.5,Dollhouse of Horrors,
-6.2,-6.2,-3.3,-6.2,-6.2,-3.6,-6.2,-2.2,-6.2,-6.2,Dominating Vampire,R
-16.2,0.1,-16.2,-16.2,3.2,-16.2,-16.2,-2.2,-2.0,-16.2,Doomed Dissenter,B
2.0,2.0,2.0,5.7,2.0,2.0,7.4,2.0,5.5,2.0,Dormant Grove,G
4.1,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,"Dorothea, Vengeful Victim",WU
-16.2,1.4,-16.2,-16.2,4.5,-16.2,-16.2,-9.1,-16.2,-16.2,Dread Fugue,B
10.0,17.5,10.0,10.0,17.8,10.0,10.0,11.1,21.7,10.0,Dreadfeast Demon,B
-0.3,-16.2,-16.2,-16.2,2.0,-4.4,3.8,-16.2,-16.2,-16.2,Dreadlight Monstrosity,U
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,2.2,-16.2,-16.2,-16.2,Dreamroot Cascade,UG
9.9,-16.2,-16.2,-16.2,11.4,8.5,8.7,-16.2,-16.2,-16.2,Dreamshackle Geist,U
0.1,1.2,-2.3,-0.8,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Drogskol Infantry,W
-16.2,-7.2,-16.2,-16.2,1.0,-16.2,-16.2,-7.9,-16.2,-16.2,Dying to Serve,B
-16.2,-2.1,-16.2,-16.2,1.1,-16.2,-16.2,-4.9,-2.5,-16.2,Edgar's Awakening,B
5.8,13.7,1.3,9.4,6.6,-16.2,-16.2,4.9,-0.6,-16.2,"Edgar, Charmed Groom",WB
-2.5,-2.5,-2.5,-2.5,-2.5,-2.8,-2.5,-2.5,-2.5,-2.5,End the Festivities,R
0.7,-4.9,-4.9,-4.9,4.0,2.6,-2.9,-4.0,-4.9,-4.9,"Eruth, Tormented Prophet",UR
-5.1,-0.8,-5.0,-1.5,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Estwald Shieldbasher,W
-1.2,0.8,-2.3,-3.9,1.6,-2.0,1.0,-3.0,0.5,-3.2,Evolving Wilds,
6.0,9.4,2.6,3.3,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Faithbound Judge,W
-0.3,-0.4,-0.5,-0.3,-0.3,0.6,-0.3,0.4,0.2,-0.3,Falkenrath Celebrants,R
-16.2,3.9,-16.2,-16.2,7.3,-16.2,-16.2,3.8,7.9,-16.2,Falkenrath Forebear,B
-1.7,-16.2,-16.2,-16.2,-0.6,-3.5,-0.8,-16.2,-16.2,-16.2,Fear of Death,U
-2.3,-2.3,-3.8,-2.3,-2.3,-2.1,-2.3,-4.1,-2.3,-2.3,Fearful Villager,R
-16.2,6.9,-16.2,-16.2,7.8,-16.2,-16.2,0.8,0.8,-16.2,Fell Stinger,B
1.6,4.1,-1.2,1.1,0.0,0.0,8.0,-3.4,-1.4,0.0,Fierce Retribution,W
2.8,2.8,1.3,2.8,2.8,4.9,2.8,1.9,-3.1,2.8,Flame-Blessed Bolt,R
1.9,4.7,-0.3,1.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Fleeting Spirit,W
-0.3,-0.3,-0.3,0.1,-0.3,-0.3,5.0,-0.3,4.1,-0.3,Flourishing Hunter,G
0.5,1.6,-1.7,-1.2,2.9,-1.2,3.6,-0.8,0.7,-3.5,Foreboding Statue,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forest,G
-1.5,-1.5,-4.4,-1.5,-1.5,-3.0,-1.5,-2.8,-1.5,-1.5,Frenzied Devils,R
1.3,-16.2,-16.2,-16.2,0.6,2.2,5.0,-16.2,-16.2,-16.2,Geistlight Snare,U
3.5,-16.2,-16.2,-16.2,10.7,5.8,9.1,-16.2,-16.2,-16.2,"Geralf, Visionary Stitcher",U
-16.2,0.8,-16.2,-16.2,1.2,-16.2,-16.2,-2.6,1.2,-16.2,Gift of Fangs,B
5.9,5.9,5.9,8.0,5.9,5.9,8.8,5.9,13.4,5.9,Glorious Sunrise,G
-16.2,2.9,-16.2,-16.2,1.1,-16.2,-16.2,-2.4,0.9,-16.2,Gluttonous Guest,B
-16.2,4.3,-16.2,-16.2,2.7,-16.2,-16.2,-0.6,-8.1,-16.2,Graf Reaver,B
-5.6,1.3,-5.6,-5.6,3.2,-5.6,-3.8,-2.9,1.4,-5.6,Grisly Ritual,B
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,1.2,-16.2,-16.2,-16.2,"Grolnok, the Omnivore",UG
-16.2,1.7,-16.2,-16.2,-16.2,-16.2,-16.2,-6.0,-16.2,-16.2,Groom's Finery,B
-0.7,-1.0,-2.6,-0.4,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Gryff Rider,W
-1.4,0.8,-3.7,-1.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Gryffwing Cavalry,W
-1.5,-16.2,-16.2,-16.2,0.7,-0.7,1.3,-16.2,-16.2,-16.2,Gutter Skulker,U
17.3,17.3,6.0,14.1,17.3,19.2,13.8,12.8,14.8,17.3,"Halana and Alena, Partners",RG
6.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Hallowed Haunting,W
-4.1,-4.1,-4.1,4.8,-4.1,-4.1,4.7,-4.1,4.7,-4.1,Hamlet Vanguard,G
-16.2,5.4,-16.2,-16.2,6.8,-16.2,-16.2,-2.9,-0.7,-16.2,Headless Rider,B
-16.2,15.4,-16.2,-16.2,17.0,-16.2,-16.2,11.4,18.9,-16.2,Henrika Domnathi,B
-16.2,4.2,-16.2,-16.2,7.0,-16.2,-16.2,0.1,4.7,-16.2,Hero's Downfall,B
-0.3,3.2,-1.8,-0.4,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Heron of Hope,W
-2.0,1.2,-2.5,-0.7,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Heron-Blessed Geist,W
2.9,2.9,2.9,6.1,2.9,2.9,5.5,2.9,6.5,2.9,Hiveheart Shaman,G
-2.3,-2.3,-8.5,-2.3,-2.3,-3.0,-2.3,-3.3,-2.3,-2.3,Honeymoon Hearse,R
-0.5,-2.4,-2.3,-6.9,1.2,1.3,-2.0,-5.3,-1.7,-5.0,Honored Heirloom,
-0.9,-0.9,-0.9,2.5,-0.9,-0.9,1.3,-0.9,1.5,-0.9,Hookhand Mariner,G
0.2,5.1,-0.9,1.7,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Hopeful Initiate,W
1.7,1.7,1.7,-6.0,1.7,1.7,2.0,1.7,-2.2,1.7,Howling Moon,G
4.0,4.0,4.0,4.3,4.0,4.0,8.9,4.0,9.9,4.0,Howlpack Piper,G
8.9,-16.2,-16.2,-16.2,13.1,7.7,11.7,-16.2,-16.2,-16.2,Hullbreaker Horror,U
-1.1,-1.1,-4.6,-1.1,-1.1,-1.9,-1.1,-4.3,-1.1,-1.1,Hungry Ridgewolf,R
6.0,6.0,0.2,6.0,6.0,2.3,6.0,3.5,6.0,6.0,Ill-Tempered Loner,R
1.5,1.5,1.5,2.8,1.5,1.5,5.1,1.5,4.6,1.5,Infestation Expert,G
-16.2,3.0,-16.2,-16.2,1.9,-16.2,-16.2,-2.6,1.6,-16.2,Innocent Traveler,B
1.5,-16.2,-16.2,-16.2,1.3,3.4,0.1,-16.2,-16.2,-16.2,Inspired Idea,U
-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,-10.4,Into the Night,R
0.8,-2.1,-6.3,1.1,-0.4,1.6,3.6,-2.5,2.3,-6.3,Investigator's Journal,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Island,U
5.6,-16.2,-16.2,-16.2,7.4,5.6,3.7,-16.2,-16.2,-16.2,"Jacob Hauken, Inspector",U
15.1,12.0,5.4,11.3,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,"Katilda, Dawnhart Martyr",W
-16.2,-7.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,"Kaya, Geist Hunter",WB
-4.4,-4.4,-2.8,-4.4,-4.4,2.5,-4.4,-4.3,-4.4,-4.4,Kessig Flamebreather,R
-1.7,-1.7,-1.9,-1.7,-1.7,-1.7,-1.7,0.1,-1.7,-1.7,Kessig Wolfrider,R
2.7,4.2,-1.1,1.6,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Kindly Ancestor,W
-2.2,-2.2,-3.7,-2.2,-2.2,-3.0,-2.2,-3.5,-2.2,-2.2,Lacerate Flesh,R
-12.0,-12.0,-12.0,-8.3,-12.0,-12.0,-12.0,-12.0,-6.8,-12.0,Laid to Rest,G
-5.9,-5.9,-4.4,-5.9,-5.9,0.3,-5.9,-3.4,-5.9,-5.9,Lambholt Raconteur,R
3.1,-16.2,-16.2,-16.2,4.3,3.1,2.3,-16.2,-16.2,-16.2,Lantern Bearer,U
1.6,3.2,0.3,2.0,1.8,1.8,1.8,1.8,1.8,1.8,Lantern Flare,WR
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Lantern of the Lost,
-4.8,-4.8,-4.2,-4.8,-4.8,-4.3,-4.8,-2.2,-4.8,-4.8,Lightning Wolf,R
2.5,-16.2,-16.2,-16.2,6.3,4.2,5.4,-16.2,-16.2,-16.2,Lunar Rejection,U
-2.7,-2.7,-2.0,-2.7,-2.7,-3.1,-2.7,-2.0,-2.7,-2.7,Magma Pummeler,R
5.4,5.4,4.9,5.4,5.4,8.2,5.4,5.6,5.4,5.4,Manaform Hellkite,R
-16.2,7.2,-16.2,-16.2,-16.2,-16.2,-16.2,-7.6,-16.2,-16.2,Markov Purifier,WB
-4.0,-4.0,-5.7,-4.0,-4.0,-2.1,-4.0,-2.0,-4.0,-4.0,Markov Retribution,R
-1.0,1.3,4.4,-2.9,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,Markov Waltzer,WR
-1.2,-1.2,-1.2,-1.1,-1.2,-1.2,2.7,-1.2,-0.5,-1.2,Massive Might,G
-2.1,-2.4,-3.1,-3.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Militia Rallier,W
-16.2,-0.3,-16.2,-16.2,1.0,-16.2,-16.2,-3.6,-4.1,-16.2,Mindleech Ghoul,B
4.1,-16.2,-16.2,-16.2,4.4,2.0,3.9,-16.2,-16.2,-16.2,Mirrorhall Mimic,U
-0.1,-16.2,-16.2,-16.2,-0.6,0.0,-4.5,-16.2,-16.2,-16.2,Mischievous Catgeist,U
-5.8,-5.8,-5.8,-0.7,-5.8,-5.8,-0.5,-5.8,-0.7,-5.8,Moldgraf Millipede,G
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mountain,R
-2.2,-2.2,-2.2,-10.3,-2.2,-2.2,-0.4,-2.2,-1.6,-2.2,Mulch,G
-3.3,-3.3,-3.3,-9.3,-3.3,-3.3,-2.2,-3.3,-4.1,-3.3,Nature's Embrace,G
-5.1,0.3,-6.6,-3.1,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Nebelgast Beguiler,W
-16.2,-16.2,-16.2,-16.2,13.2,-16.2,-16.2,-16.2,-16.2,-16.2,Necroduality,U
0.4,0.7,-2.0,-1.3,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Nurturing Presence,W
-1.2,-1.2,-1.2,-0.6,-1.2,-1.2,0.3,-1.2,-0.3,-1.2,Oakshade Stalker,G
-16.2,-16.2,-2.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,"Odric, Blood-Cursed",WR
2.1,2.1,2.1,2.1,2.1,2.1,4.7,2.1,8.9,2.1,Old Rutstein,BG
5.9,5.9,5.0,5.9,5.9,2.0,5.9,2.6,5.9,5.9,Olivia's Attendants,R
7.2,5.2,7.2,7.2,15.1,7.2,7.2,4.6,5.9,7.2,"Olivia, Crimson Bride",BR
-4.5,-0.3,-1.5,-2.6,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Ollenbock Escort,W
4.0,-16.2,-16.2,-16.2,10.4,2.7,8.5,-16.2,-16.2,-16.2,Overcharged Amalgam,U
3.7,3.7,3.7,2.4,3.7,3.7,3.4,3.7,1.5,3.7,Packsong Pup,G
0.9,4.3,-3.2,1.9,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Panicked Bystander,WB
-16.2,5.1,-16.2,-16.2,7.8,-16.2,-16.2,3.0,5.4,-16.2,Parasitic Grasp,B
-2.3,0.5,-2.5,0.6,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Parish-Blade Trainee,W
-6.4,-16.2,-16.2,-16.2,-4.5,-6.7,-3.6,-16.2,-16.2,-16.2,Patchwork Crawler,U
-16.2,3.5,-16.2,-16.2,1.7,-16.2,-16.2,3.7,2.9,-16.2,Path of Peril,WB
-16.2,-0.5,-16.2,-16.2,1.4,-16.2,-16.2,-3.2,-2.2,-16.2,Persistent Specimen,B
-3.6,0.4,-1.5,0.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Piercing Light,W
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plains,W
-16.2,3.8,-16.2,-16.2,2.4,-16.2,-16.2,-2.5,-0.6,-16.2,Pointed Discussion,B
-0.9,-0.9,-6.4,-0.9,-0.9,-6.4,-0.9,-3.2,-0.9,-0.9,Pyre Spawn,R
-2.2,-4.5,-9.1,-8.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Radiant Grace,W
-16.2,0.3,-16.2,-16.2,0.5,-16.2,-16.2,-2.3,-2.3,-16.2,Ragged Recluse,B
-4.2,-4.2,-3.8,-4.2,-4.2,0.1,-4.2,-2.5,-4.2,-4.2,Reckless Impulse,R
-3.1,-3.1,-3.1,0.5,-3.1,-3.1,4.5,-3.1,2.1,-3.1,Reclusive Taxidermist,G
3.8,3.8,1.2,2.0,3.8,4.5,0.2,4.1,0.9,3.8,Rending Flame,R
-0.5,-16.2,-16.2,-16.2,0.3,-1.8,-1.9,-16.2,-16.2,-16.2,Repository Skaab,U
2.1,4.6,-0.4,3.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Resistance Squad,W
-16.2,4.7,-16.2,-16.2,2.2,-16.2,-16.2,-0.9,0.7,-16.2,Restless Bloodseeker,B
-6.4,-6.4,-6.4,-10.4,-6.4,-6.4,-0.9,-6.4,-3.2,-6.4,Retrieve,G
-16.2,1.9,-16.2,-16.2,3.6,-16.2,-16.2,-2.5,0.3,-16.2,Rot-Tide Gargantua,B
-2.0,-2.0,-2.0,-2.0,-2.0,-3.2,-2.0,-5.4,-2.0,-2.0,Runebound Wolf,R
-16.2,-16.2,-16.2,-16.2,4.7,-16.2,7.2,-16.2,-6.7,-16.2,Runo Stromkirk,UB
-2.3,-2.3,-2.3,0.7,-2.3,-2.3,0.6,-2.3,-0.1,-2.3,Rural Recruit,G
-16.2,5.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Sanctify,W
-3.8,-3.8,-5.1,-3.8,-3.8,-2.5,-3.8,-2.6,-3.8,-3.8,Sanguine Statuette,R
-1.8,9.0,7.3,8.1,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Savior of Ollenbock,W
-1.6,-1.6,-1.6,-0.7,-1.6,-1.6,0.4,-1.6,-0.1,-1.6,Sawblade Slinger,G
1.9,-16.2,-16.2,-16.2,3.6,0.4,3.5,-16.2,-16.2,-16.2,Scattered Thoughts,U
-0.6,-16.2,-16.2,-16.2,1.2,-4.6,2.0,-16.2,-16.2,-16.2,Screaming Swarm,U
-2.2,-16.2,-16.2,-16.2,0.8,-0.1,-0.7,-16.2,-16.2,-16.2,Selhoff Entomber,U
1.1,-16.2,-16.2,-16.2,0.1,1.3,-0.7,-16.2,-16.2,-16.2,Serpentine Ambush,U
-16.2,-0.2,-16.2,-16.2,-16.2,-16.2,-16.2,2.4,-16.2,-16.2,Shattered Sanctum,WB
-8.2,-8.2,-8.2,-1.0,-8.2,-8.2,0.9,-8.2,3.9,-8.2,Sheltering Boughs,G
2.5,3.7,-0.0,2.2,-4.2,-4.2,5.6,2.3,-1.5,-4.2,Sigarda's Imprisonment,W
-16.2,-16.2,-16.2,2.9,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Sigarda's Summons,W
-16.2,-16.2,-16.2,1.8,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Sigardian Paladin,WG
-16.2,3.5,-16.2,-16.2,7.8,-16.2,-16.2,0.3,1.2,-16.2,Skulking Killer,B
-16.2,-16.2,-16.2,-16.2,6.6,-16.2,-16.2,-16.2,-16.2,-16.2,Skull Skaab,UB
-1.5,-16.2,-16.2,-16.2,1.0,-4.0,-1.8,-16.2,-16.2,-16.2,Skywarp Skaab,U
-1.2,-1.2,-1.2,-2.4,-1.2,-1.2,-2.5,-1.2,0.2,-1.2,Snarling Wolf,G
-16.2,12.9,-16.2,-16.2,14.3,-16.2,-16.2,8.8,13.5,-16.2,Sorin the Mirthless,B
-2.6,-16.2,-16.2,-16.2,-1.6,-3.3,0.4,-16.2,-16.2,-16.2,Soulcipher Board,U
-3.9,-3.9,-3.9,1.1,-3.9,-3.9,-0.2,-3.9,-1.0,-3.9,Spiked Ripsaw,G
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Splendid Reclamation,G
-2.0,-2.0,-2.0,1.3,-2.0,-2.0,3.2,-2.0,1.7,-2.0,Spore Crawler,G
-4.5,-4.5,-4.5,-0.4,-4.5,-4.5,-2.4,-4.5,0.2,-4.5,Sporeback Wolf,G
-1.2,-16.2,-16.2,-16.2,1.0,-3.4,-0.8,-16.2,-16.2,-16.2,Steelclad Spirit,U
1.7,1.7,6.9,1.7,1.7,9.5,1.7,7.2,1.7,1.7,Stensia Uprising,R
-1.3,-16.2,-16.2,-16.2,1.3,-1.6,-0.1,-16.2,-16.2,-16.2,Stitched Assistant,U
-16.2,-16.2,-16.2,-16.2,-16.2,-2.0,-16.2,-16.2,-16.2,-16.2,Stormcarved Coast,UR
5.2,-16.2,-16.2,-16.2,3.5,4.7,5.6,-16.2,-16.2,-16.2,Stormchaser Drake,U
1.4,4.1,-2.2,1.4,1.4,1.4,1.4,4.5,1.4,1.4,Sundown Pass,WR
-2.0,-3.5,-7.0,-0.9,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Supernatural Rescue,W
-3.4,-3.4,-1.9,-3.4,-3.4,-0.1,-3.4,-1.6,-3.4,-3.4,Sure Strike,R
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Swamp,B
0.7,-16.2,-16.2,-16.2,4.0,2.3,3.1,-16.2,-16.2,-16.2,Syncopate,U
0.7,-16.2,-16.2,-16.2,2.3,-0.2,2.7,-16.2,-16.2,-16.2,Syphon Essence,U
4.5,-1.3,-3.4,2.4,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,"Thalia, Guardian of Thraben",W
1.2,-16.2,-16.2,-16.2,5.4,2.2,3.0,-16.2,-16.2,-16.2,Thirst for Discovery,U
-3.9,9.7,-3.9,8.3,-3.9,-3.9,7.0,-3.9,7.4,-3.9,"Torens, Fist of the Angels",WG
